* Barcode = SLB93
* Block Type = OpenArray Block
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 05-19-2015 15:21:07 CEST
* Experiment File Name = My Genes
* Experiment Name = SLB93
* Experiment Run End Time = 05-18-2015 17:56:18 CEST
* Experiment Type = Gene Expression
* Instrument Name = 285880792
* Instrument Serial Number = 285880792
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 3
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	Ct	Ct Mean	Ct SD	Amp Score	Cq Conf	CRTAMPLITUDE	HIGHSD	CRTNOISE	ROX Signal
1	A1a1	false	Sample1	Hs00559368_m1	UNKNOWN	FAM	NFQ-MGB	29.099	29.527	0.606	1.429	0.898	N	Y	N	6,367.559
2	A1a2	false	Sample1	Hs02576168_g1	UNKNOWN	FAM	NFQ-MGB	30.062	30.008	0.077	1.453	0.946	N	N	N	5,775.118
3	A1a3	false	Sample1	Hs01059246_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	5,631.824
4	A1a4	false	Sample1	Hs00199368_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	5,297.735
5	A1a5	false	Sample1	Hs00187779_m1	UNKNOWN	FAM	NFQ-MGB	32.390	31.662	1.029	1.466	0.951	N	Y	N	5,675.353
6	A1a6	false	Sample1	Hs02383390_s1	UNKNOWN	FAM	NFQ-MGB	24.626	24.214	0.583	1.253	0.866	N	Y	N	5,329.529
7	A1a7	false	Sample1	Hs00366258_m1	UNKNOWN	FAM	NFQ-MGB	27.850	27.880	0.042	1.571	0.960	N	N	N	5,802.853
8	A1a8	false	Sample1	Hs00957901_g1	UNKNOWN	FAM	NFQ-MGB	26.140	25.914	0.320	1.574	0.971	N	N	N	5,407.294
9	A1b1	false	Sample1	Hs00227775_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	6,191.235
10	A1b2	false	Sample1	Hs00161820_m1	UNKNOWN	FAM	NFQ-MGB	27.158	27.278	0.170	1.444	0.848	N	N	N	5,711.059
11	A1b3	false	Sample1	Hs01040204_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined	30.182		0.582	0.000	Y	N	Y	5,822.176
12	A1b4	false	Sample1	Hs00901571_m1	UNKNOWN	FAM	NFQ-MGB	24.433	24.374	0.083	1.537	0.901	N	N	N	5,680.824
13	A1b5	false	Sample1	Hs00988304_m1	UNKNOWN	FAM	NFQ-MGB	21.131	21.142	0.016	1.583	0.920	N	N	N	6,096.324
14	A1b6	false	Sample1	Hs00240827_m1	UNKNOWN	FAM	NFQ-MGB	24.862	24.818	0.062	1.531	0.913	N	N	N	5,632.382
15	A1b7	false	Sample1	Hs01587865_g1	UNKNOWN	FAM	NFQ-MGB	26.588	26.483	0.149	1.483	0.949	N	N	N	6,026.118
16	A1b8	false	Sample1	Hs00201836_m1	UNKNOWN	FAM	NFQ-MGB	24.584	24.496	0.124	1.559	0.964	N	N	N	5,535.735
17	A1c1	false	Sample1	Hs00174944_m1	UNKNOWN	FAM	NFQ-MGB	25.814	25.916	0.145	1.490	0.912	N	N	N	6,217.735
18	A1c2	false	Sample1	Hs00559542_m1	UNKNOWN	FAM	NFQ-MGB	24.704	24.756	0.074	1.429	0.871	N	N	N	6,027.882
19	A1c3	false	Sample1	Hs00213002_m1	UNKNOWN	FAM	NFQ-MGB	30.951	30.991	0.056	1.446	0.912	N	N	N	5,915.765
20	A1c4	false	Sample1	Hs00743423_s1	UNKNOWN	FAM	NFQ-MGB	24.677	24.759	0.115	1.646	0.879	N	N	N	5,892.382
21	A1c5	false	Sample1	Hs01056398_m1	UNKNOWN	FAM	NFQ-MGB	26.436	26.480	0.062	1.483	0.898	N	N	N	6,190.324
